Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5OZvJJPsuG54DnmAXAm1Fc,"Just The Way It Is - Original Mix","Just The Way It Is","Lisa Moorish",1994,248426,36,false,ben.doan4366,2026-03-21T22:33:59Z,"new jack swing","UMC (Universal Music Catalogue)",0.752,0.787,1,-6.348,1,0.0486,0.00124,0.013,0.228,0.677,102.045,4
spotify:track:3rBtlxvT3qvQOj8d2Fcmmo,"If - D&D 12'' Mix","If (Remixes)","Janet Jackson;D&D",1993-07-13,347240,21,false,ben.doan4366,2026-03-22T00:16:01Z,"new jack swing","UMC (Universal Music Catalogue)",0.826,0.572,11,-9.243,0,0.0563,0.0185,0.00595,0.0966,0.688,105.597,4
spotify:track:2TmIDbABXRwYlNLyh3xJCA,"Don't Wanna Fall In Love - NJS Mix with Rap Intro","All Time Best","Elisha La'verne",2010-12-15,267853,25,false,ben.doan4366,2026-03-22T00:16:10Z,"new jack swing","STAR BASE MUSIC",0.698,0.762,11,-5.489,0,0.0576,0.000889,0.00554,0.331,0.543,103.989,4
spotify:track:15jA5PEiegJ4QbJHaojxOV,"Diggin' On You - CJ's Master 7"" Mix","Diggin' On You (Remixes)","TLC;C.J. Mackintosh",2019-11-14,232964,24,false,ben.doan4366,2026-03-22T00:16:16Z,"","LaFace/Legacy",0.576,0.584,6,-9.181,1,0.0966,0.0463,0.536,0.304,0.873,180.097,4
spotify:track:6ZvTqBPdKw6ynie8oiDT7I,"Really into You","Smooth Is The Way","Around The Way",1993-01-01,309773,43,false,ben.doan4366,2026-03-22T01:22:05Z,"new jack swing","Rhino Atlantic",0.621,0.696,1,-9.832,1,0.151,0.0272,0.0108,0.0619,0.621,191.818,4
spotify:track:3jDdpx9PMlfMBS5tOBHFm9,"Return of the Mack","Return of the Mack","Mark Morrison",1996-04-22,213093,80,false,ben.doan4366,2026-03-22T01:25:54Z,"","WM UK",0.715,0.833,2,-5.379,1,0.108,0.00631,0,0.164,0.612,95.487,4
spotify:track:6mz1fBdKATx6qP4oP1I65G,"Pony","R&B: From Doo-Wop To Hip-Hop","Ginuwine",1999-10-08,251733,75,true,ben.doan4366,2026-03-22T01:27:05Z,"r&b","Sony Music Entertainment",0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,4
spotify:track:6eB35pgMXdfhz5Z0WjwF1O,"Hey Mr. D.J.","Pronounced Jah-Nay","Zhané",1994-01-01,252400,65,false,ben.doan4366,2026-03-22T01:27:47Z,"new jack swing","Motown",0.865,0.557,2,-8.018,1,0.0612,0.0221,0.00353,0.0973,0.859,101.295,4
spotify:track:7H6ev70Weq6DdpZyyTmUXk,"Say My Name","The Writing's On The Wall","Destiny's Child",1999-07-27,271333,81,false,ben.doan4366,2026-03-22T01:29:39Z,"","Columbia",0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,4
spotify:track:2nGFzvICaeEWjIrBrL2RAx,"Put Your Records On","Corinne Bailey Rae","Corinne Bailey Rae",2006-01-01,215360,82,false,ben.doan4366,2026-03-22T20:12:05Z,"","EMI Records",0.739,0.511,9,-7.844,1,0.0362,0.167,0.00000134,0.133,0.542,96.038,4
