Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6k2900NjJeVqZM55G3Danu,"Bum Bum Tam Tam","Bum Bum Tam Tam","MC Fioti;Future;J Balvin;Stefflon Don;Juan Magán",2017-12-15,213988,68,true,ben.doan4366,2025-03-13T17:55:21Z,"brazilian funk,rap,reggaeton,latin,dancehall","Universal-Island Records Ltd.",0.896,0.675,1,-3.908,1,0.124,0.346,0.00000811,0.262,0.659,131.999,4
spotify:track:1OUPXna2MCgAt3VNmXJBtg,"Bola Rebola","Bola Rebola","Tropkillaz;J Balvin;Anitta;ZAAC",2019-02-22,193440,65,false,ben.doan4366,2025-03-13T17:55:25Z,"brazilian funk,brazilian pop,reggaeton,latin,funk pop,funk carioca","Universal Music Ltda.",0.834,0.777,5,-4.538,0,0.0593,0.22,0.00609,0.335,0.865,129.984,4
spotify:track:5TFD2bmFKGhoCRbX61nXY5,"NUEVAYoL","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,183685,97,false,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
spotify:track:2lTm559tuIvatlT1u0JYG2,"BAILE INoLVIDABLE","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,367725,98,true,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
spotify:track:25ZAibhr3bdlMCLmubZDVt,"QUE PRETENDES","OASIS","J Balvin;Bad Bunny",2019-06-28,222346,83,false,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,latin,trap latino,urbano latino","Universal Music Latino / Rimas",0.639,0.791,10,-4.443,0,0.254,0.0275,0,0.362,0.933,92.603,4
spotify:track:4MzXwWMhyBbmu6hOcLVD49,"DÁKITI","EL ÚLTIMO TOUR DEL MUNDO","Bad Bunny;JHAYCO",2020-11-27,205090,82,true,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.731,0.573,4,-10.059,0,0.0544,0.401,0.0000522,0.113,0.145,109.928,4
spotify:track:05rJdH2MRLJ3sQoEUO78qs,"Paradinha","Paradinha","Anitta",2017-05-31,141316,58,false,ben.doan4366,2025-03-13T17:58:13Z,"brazilian pop,funk pop,brazilian funk,funk carioca","WM Brazil",0.695,0.775,11,-5.041,0,0.0887,0.0117,0.191,0.0702,0.869,180.054,4
spotify:track:4MjDJD8cW7iVeWInc2Bdyj,"MONACO","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,267194,88,true,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4
spotify:track:7DY756WOLyOz2Xnhw4EFiC,"São Paulo (feat. Anitta)","Hurry Up Tomorrow","The Weeknd;Anitta",2025-01-31,301623,85,true,ben.doan4366,2025-03-13T17:58:13Z,"brazilian pop,funk pop,brazilian funk,funk carioca","XO / Republic Records",0.538,0.658,5,-7.273,0,0.076,0.0385,0.000146,0.573,0.553,127.322,4
spotify:track:5WEF0icHWmAZBBMglBd599,"WELTiTA","DeBÍ TiRAR MáS FOToS","Bad Bunny;Chuwi",2025-01-05,187507,88,false,ben.doan4366,2025-03-13T17:58:13Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.458,0.297,4,-32.354,0,0.6,0.866,0.329,0.346,0.357,96.14,3
