Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0E3MUIYXSbQ9qbRDubY2vg,"Tie The Knot","Broken Hearts Club","Syd",2022-04-08,151714,26,false,ben.doan4366,2025-03-12T13:37:29Z,"alternative r&b","Columbia",0.807,0.453,1,-10.692,1,0.131,0.39,0.129,0.103,0.69,139.959,4
spotify:track:5WoaF1B5XIEnWfmb5NZikf,"Sky Walker (feat. Travis Scott)","War & Leisure","Miguel;Travis Scott",2017-12-01,259334,77,true,ben.doan4366,2025-03-12T13:37:29Z,"r&b,rap","ByStorm Entertainment/RCA Records",0.674,0.506,6,-10.532,1,0.0434,0.173,0,0.0866,0.183,145.965,4
spotify:track:72zepCi4IZrD9yKcSncppv,"1999 (feat. Lloyd)","4eva Is A Mighty Long Time","Big K.R.I.T.;Lloyd",2017-10-27,222951,37,true,ben.doan4366,2025-03-12T13:37:29Z,"southern hip hop,r&b","BMG Rights Management (US) LLC",0.701,0.699,6,-6.508,1,0.213,0.09,0,0.0771,0.532,157.984,4
spotify:track:44ByUAJyV8ZcRW3y5gqMpU,"Dollar Bills (feat. Steve Lacy)","Fin","Syd;Steve Lacy",2017-02-03,187520,40,true,ben.doan4366,2025-03-12T13:37:37Z,"alternative r&b","Columbia",0.656,0.804,1,-7.449,1,0.248,0.085,0.000636,0.32,0.765,71.524,4
spotify:track:5GjisoOfsN8qagrax01T4y,"Wanna Be","Hive Mind","The Internet",2018-07-20,267396,45,false,ben.doan4366,2025-03-12T13:37:37Z,"alternative r&b,neo soul","Columbia",0.875,0.41,7,-6.29,0,0.0571,0.0674,0.0374,0.106,0.445,87.999,4
spotify:track:6xagjcywpcyNFghafZPQJv,"Banana Clip","War & Leisure","Miguel",2017-12-01,201616,58,false,ben.doan4366,2025-03-12T13:37:48Z,"r&b","ByStorm Entertainment/RCA Records",0.638,0.708,1,-5.342,0,0.0754,0.0973,0,0.177,0.606,84.978,4
spotify:track:13b1K3CMI8ty3By3bPMRdD,"She Got A Man","The Juice: Vol. III","Emotional Oranges",2022-12-09,166498,0,false,ben.doan4366,2025-03-12T13:38:42Z,"indie r&b","Avant Garden",0.773,0.51,3,-7.402,0,0.0787,0.324,0.0122,0.0619,0.88,121.941,4
spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Seven (feat. Latto) (Explicit Ver.)","GOLDEN","Jung Kook;Latto",2023-11-03,183550,84,true,ben.doan4366,2025-03-12T13:38:42Z,"k-pop","BIGHIT MUSIC",0.79,0.831,11,-4.185,1,0.044,0.312,0,0.0797,0.872,124.987,4
spotify:track:2GcypFJcULDmhmbqFdm9qi,"do me right","relationshit","brb.",2020-03-13,178560,56,false,ben.doan4366,2025-03-12T13:40:08Z,"","Umami Records",0.804,0.595,11,-8.65,0,0.0401,0.422,0.000118,0.0808,0.781,125.08,4
spotify:track:5zhMMVw097YOSvT0oDGgDV,"zombie pop","DPR ARCHIVES","DPR IAN",2020-06-18,114380,50,false,ben.doan4366,2025-03-12T13:40:08Z,"k-rap","DREAM PERFECT REGIME (DPR)",0.686,0.687,2,-7.794,1,0.0555,0.00799,0.0000733,0.0781,0.88,90.084,4
spotify:track:6wcRv0UBvEH9NCIA3IVyQs,"love","love","DEAN;Syd",2017-05-19,258226,55,true,ben.doan4366,2025-03-12T13:40:08Z,"k-rap,k-pop,alternative r&b","Universal Music Ltd.",0.582,0.67,11,-6.69,1,0.0483,0.00125,0.000669,0.105,0.37,109.993,4
spotify:track:0v2Qgk39gLXMIJi6BY34Fz,"The Weekend","The Weekend","88rising;BIBI",2021-10-14,167661,63,true,ben.doan4366,2025-03-12T13:40:08Z,"k-pop,k-rap","88rising Music",0.783,0.523,1,-5.7,1,0.0321,0.0627,0.00000486,0.0963,0.828,101.488,4
spotify:track:6xGr4tVzpTX99p9Cf0hRRL,"3D (feat. Jack Harlow)","GOLDEN","Jung Kook;Jack Harlow",2023-11-03,201812,74,true,ben.doan4366,2025-03-12T13:40:08Z,"k-pop","BIGHIT MUSIC",0.853,0.824,1,-3.287,1,0.103,0.0322,0,0.0859,0.888,108.044,4
spotify:track:2ahp0wvyEzyvgWfOhStHWp,"Blue Flame (2023 Ver.)","UNFORGIVEN","LE SSERAFIM",2023-05-01,201894,59,false,ben.doan4366,2025-03-12T13:40:08Z,"k-pop","SOURCE MUSIC",0.771,0.747,4,-3.407,0,0.0455,0.023,0.00000147,0.0706,0.762,112.046,4
spotify:track:2O4Bb2WCkjlTPO827OnBMI,"EASY","EASY","LE SSERAFIM",2024-02-19,164545,73,false,ben.doan4366,2025-03-12T13:40:08Z,"k-pop","SOURCE MUSIC",0.744,0.7,0,-5.154,1,0.0507,0.189,0.00000274,0.114,0.602,165.004,4
spotify:track:0Dylgc29zZwO3YRC1VrMdo,"Health Food","HAN","Berhana",2019-10-18,247496,1,true,ben.doan4366,2025-03-12T13:40:32Z,"alternative r&b","EQT Recordings, LLC",0.865,0.576,4,-10.515,0,0.113,0.306,0.0362,0.377,0.609,119.974,4
spotify:track:6ltcWFTmyRQbSNCNOTK0uM,"Body & Soul (feat. Biig Piig)","The Juicebox","Emotional Oranges;Biig Piig",2021-06-11,150700,53,true,ben.doan4366,2025-03-12T13:40:32Z,"indie r&b","Avant Garden PS",0.845,0.506,7,-7.599,0,0.0362,0.203,0.0111,0.146,0.748,103.973,4
spotify:track:6Avxu7IgJkXD6dQYuUfB5x,"Wrong Hands","STILL EMO","Emotional Oranges",2023-08-11,189960,0,false,ben.doan4366,2025-03-12T13:40:32Z,"indie r&b","Avant Garden",0.846,0.487,3,-6.575,0,0.0316,0.0244,0.00000299,0.085,0.914,98.49,4
spotify:track:2t5ebbh0zWyTIe02d6kv8Y,"World On Wheels","SuperGood","Duckwrth;Kyle Dion",2020-08-21,159812,40,true,ben.doan4366,2025-03-12T13:40:32Z,"alternative r&b","Republic Records",0.774,0.779,9,-5.037,0,0.0593,0.652,0.0000235,0.206,0.963,111.998,4
spotify:track:4va1PNdBR3tnpJWqqtRev7,"Did U Notice?","SuperGood","Duckwrth;Julia Romana",2020-08-21,210308,29,true,ben.doan4366,2025-03-12T13:40:32Z,"","Republic Records",0.727,0.373,1,-5.984,1,0.191,0.648,0.000027,0.0985,0.627,79.355,4
spotify:track:4K1Pg0FLno1ltzX3jeqT83,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","GNX","Kendrick Lamar;Wallie the Sensei;Siete7x;Roddy Ricch",2024-11-22,131240,70,true,ben.doan4366,2025-03-12T13:40:32Z,"hip hop,west coast hip hop,melodic rap","pgLang, under exclusive license to Interscope Records",0.796,0.536,6,-7.93,1,0.109,0.0552,0,0.112,0.662,83.492,4
spotify:track:45J4avUb9Ni0bnETYaYFVJ,"luther (with sza)","GNX","Kendrick Lamar;SZA",2024-11-22,177598,84,false,ben.doan4366,2025-03-12T13:40:32Z,"hip hop,west coast hip hop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
spotify:track:3aSWXU6owkZeVhh94XxEWO,"30 For 30 (with Kendrick Lamar)","SOS Deluxe: LANA","SZA;Kendrick Lamar",2024-12-20,278277,76,true,ben.doan4366,2025-03-12T13:40:32Z,"r&b,hip hop,west coast hip hop","Top Dawg Entertainment/RCA Records",0.714,0.415,1,-10.338,0,0.0634,0.758,0.000112,0.133,0.506,140.059,4
spotify:track:0VzxuTZTfdhPgRfSEgCnRN,"Bad Love God","Shiver","Hope Tala",2024-09-25,203283,9,false,ben.doan4366,2025-03-12T13:40:32Z,"alternative r&b","PMR Records",0.604,0.555,6,-6.598,0,0.121,0.339,0.00961,0.115,0.696,110.984,4
spotify:track:0GMnklO2k6jGFsNxnBs49p,"Lies You Tell","STILL EMO","Emotional Oranges",2023-08-11,202342,0,false,ben.doan4366,2025-03-12T13:40:32Z,"indie r&b","Avant Garden",0.759,0.65,6,-7.125,1,0.0587,0.223,0.000998,0.129,0.499,115.976,4
spotify:track:6FnXRfvhQsTbiMaiXb2gff,"Love Quotes","Love Quotes","Jenevieve",2022-08-12,195401,57,false,ben.doan4366,2025-03-12T13:40:58Z,"alternative r&b","Joyface Records/Interscope Records",0.679,0.672,6,-5.733,0,0.053,0.585,0.000549,0.0985,0.513,75.062,4
spotify:track:2fQo9apVAYggTBzaFPUh9B,"Supernova","Supernova","Sunni Colón",2019-09-25,141374,52,false,ben.doan4366,2025-03-12T13:40:58Z,"","TETSU recordings",0.821,0.31,6,-11.457,0,0.0496,0.41,0.00786,0.143,0.421,104.048,4
spotify:track:4QnKrqFiQwzKXOJ5sOk53u,"Miss Shiney","Miss Shiney","Kaiit",2019-05-03,192000,0,false,ben.doan4366,2025-03-12T13:40:58Z,"","Alt. Music Group",0.749,0.566,1,-7.793,1,0.268,0.409,0,0.0918,0.795,72.008,5
spotify:track:30ae9cv36eD4Q6Zc8PVF8v,"Leave It On The Dancefloor","Leave It On The Dancefloor","Hope Tala",2022-08-26,175016,52,false,ben.doan4366,2025-03-12T13:40:58Z,"alternative r&b","Hope Tala",0.699,0.902,11,-5.015,1,0.0428,0.255,0.171,0.103,0.911,106.014,4
spotify:track:0PiC0y8AxORbmVTxufAPdb,"CaNdY LiEs","Rendezvous - EP","Jenevieve",2022-09-09,149996,53,false,ben.doan4366,2025-03-12T13:40:58Z,"alternative r&b","Joyface Records/Interscope Records",0.712,0.527,6,-5.398,0,0.043,0.313,0.0000122,0.184,0.626,80.017,4
spotify:track:5SusLOd5pOU6akwkkODXf5,"Envy","Monologues","Ogi",2022-05-05,247133,54,false,ben.doan4366,2025-03-12T13:40:58Z,"retro soul","Atlantic/Atrium",0.392,0.55,5,-7.396,0,0.0937,0.633,0.0000519,0.113,0.578,87.501,4
spotify:track:4O9OqRpTCXz6fB3BDEAbKz,"I Got It","Monologues","Ogi",2022-05-05,207200,58,true,ben.doan4366,2025-03-12T13:40:58Z,"retro soul","Atlantic/Atrium",0.724,0.711,6,-6.938,0,0.242,0.594,0.00000286,0.135,0.407,139.914,4
spotify:track:0zyDQF49c8BZObY8Figpew,"RISE - Darius Remix","RISE (Darius Remix)","Darius;Benny Sings",2023-04-19,451034,31,false,ben.doan4366,2025-03-12T13:40:58Z,"french house,indie soul,nu disco","Roche Musique",0.845,0.692,3,-5.948,0,0.174,0.124,0.515,0.102,0.407,116.011,4
spotify:track:2K2kujL7erU8ItCd2Tv5lh,"Résumé","Division","Jenevieve",2021-09-03,180357,62,false,ben.doan4366,2025-03-12T13:40:58Z,"alternative r&b","Joyface Records/Interscope Records",0.82,0.447,0,-7.686,1,0.085,0.277,0.000041,0.0583,0.661,149.98,4
spotify:track:46Y9vXsmtnYZdEwny4o1Dd,"Medallion","Division","Jenevieve",2021-09-03,147133,53,true,ben.doan4366,2025-03-12T13:40:58Z,"alternative r&b","Joyface Records/Interscope Records",0.772,0.474,10,-6.791,0,0.0466,0.164,0.00000653,0.374,0.81,78.961,4
spotify:track:4Nw7kywWurWS6ceinn1cHK,"Baby Powder","Division","Jenevieve",2021-09-03,176760,69,false,ben.doan4366,2025-03-12T13:40:58Z,"alternative r&b","Joyface Records/Interscope Records",0.799,0.452,1,-7.641,0,0.0466,0.238,0.000133,0.0878,0.732,78.461,3
spotify:track:0qw6ZnTxdfS9fj648bN9A5,"Nxwhere","Division","Jenevieve",2021-09-03,197000,52,false,ben.doan4366,2025-03-12T13:40:58Z,"alternative r&b","Joyface Records/Interscope Records",0.621,0.312,9,-10.032,0,0.0357,0.372,0.0529,0.0667,0.195,133.972,4
spotify:track:1dIWPXMX4kRHj6Dt2DStUQ,"Chosen (feat. Ty Dolla $ign)","No Love Lost (Deluxe)","Blxst;Tyga;Ty Dolla $ign",2020-12-04,161684,69,true,ben.doan4366,2025-03-12T13:40:58Z,"trap soul","Red Bull Records Inc. / Evgle LLC",0.571,0.767,2,-5.16,1,0.287,0.336,0,0.0809,0.605,93.421,4
spotify:track:0aj2QKJvz6CePykmlTApiD,"Señorita","Justified","Justin Timberlake",2002-11-04,294866,67,false,ben.doan4366,2025-03-12T13:40:58Z,"","Jive",0.841,0.63,1,-5.356,1,0.0443,0.0725,0,0.0742,0.876,97.964,4
spotify:track:3jEtESxn2ngF25DMD6vbBg,"Crew (feat. Brent Faiyaz & Shy Glizzy)","Crew (feat. Brent Faiyaz & Shy Glizzy)","GoldLink;Brent Faiyaz;Shy Glizzy",2016-12-16,177406,36,true,ben.doan4366,2025-03-12T13:41:25Z,"r&b","Squaaash Club/RCA Records",0.727,0.602,1,-8.42,0,0.133,0.117,0,0.0833,0.418,129.952,4
spotify:track:2cRm43WgDFpOX0oqr6ujbB,"Unique (feat. Anderson .Paak) - Louis Futon Remix","And After That, We Didn't Talk - The Remixes","GoldLink;Anderson .Paak;Louis Futon",2016-06-10,254678,20,true,ben.doan4366,2025-03-12T13:41:25Z,"","Soulection",0.641,0.795,7,-5.294,1,0.299,0.0039,0.00000267,0.627,0.457,114.993,4
spotify:track:5iUQMwxUPdJBFeGkePtM66,"Dang! (feat. Anderson .Paak)","The Divine Feminine","Mac Miller;Anderson .Paak",2016-09-16,305350,71,true,ben.doan4366,2025-03-12T13:41:25Z,"","Warner Records",0.836,0.67,5,-6.907,0,0.23,0.00826,0.000355,0.0837,0.556,107.018,4
spotify:track:4k5UZm89ZX0YAHUp55zpt9,"We (feat. CeeLo Green)","The Divine Feminine","Mac Miller;CeeLo Green",2016-09-16,319272,67,true,ben.doan4366,2025-03-12T13:41:25Z,"","Warner Records",0.641,0.637,3,-9.43,0,0.0579,0.794,0.0515,0.131,0.601,138.869,4
spotify:track:1PVza5KmhSJhz12OewWciE,"Got Friends","Got Friends","GoldLink;Miguel",2018-06-13,226963,48,true,ben.doan4366,2025-03-12T13:41:25Z,"r&b","Squaaash Club/RCA Records",0.691,0.75,10,-3.934,0,0.347,0.104,0,0.123,0.345,143.744,4
spotify:track:4F07ku5lMBIoybFPStM2j4,"Suede","Yes Lawd!","NxWorries;Anderson .Paak;Knxwledge",2016-10-21,174866,0,true,ben.doan4366,2025-03-12T13:41:25Z,"","Stones Throw Records",0.669,0.735,10,-7.264,1,0.329,0.459,0,0.103,0.723,117.284,4
spotify:track:7eqoqGkKwgOaWNNHx90uEZ,"Nights","Blonde","Frank Ocean",2016-08-20,307151,87,true,ben.doan4366,2025-03-12T13:41:25Z,"","Boys Don't Cry",0.457,0.551,5,-9.36,0,0.167,0.427,0.00000115,0.113,0.428,89.87,4
spotify:track:4j3GWI86JvSaF0BLdmgcfF,"Summertime Magic","Summer Pack","Childish Gambino",2018-07-11,213600,60,false,ben.doan4366,2025-03-12T13:41:32Z,"","Wolf+Rothstein/RCA Records",0.76,0.579,0,-7.374,1,0.0567,0.0127,0.00344,0.106,0.129,100.011,4
spotify:track:7p4vHnYXkxlzvfePJVpcTr,"Feels Like Summer","Summer Pack","Childish Gambino",2018-07-11,297404,74,false,ben.doan4366,2025-03-12T13:41:32Z,"","Wolf+Rothstein/RCA Records",0.55,0.596,7,-8.214,1,0.134,0.162,0.00481,0.0805,0.253,165.736,4
spotify:track:45Egmo7icyopuzJN0oMEdk,"Love Lies","Love Lies","Khalid;Normani",2018-02-14,201707,75,true,ben.doan4366,2025-03-12T13:41:38Z,"","RCA Records Label",0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,4
spotify:track:152lZdxL1OR0ZMW6KquMif,"Location","American Teen","Khalid",2017-04-27,219080,78,false,ben.doan4366,2025-03-12T13:41:38Z,"","Right Hand Music Group, LLC/RCA Records",0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,4
spotify:track:5fyqqaqTmcNDixYABJO99I,"What's the Use?","What's the Use?","Mac Miller",2018-07-23,288640,37,true,ben.doan4366,2025-03-12T13:42:03Z,"","Warner Records",0.759,0.492,1,-10.338,0,0.12,0.736,0.00989,0.107,0.561,104.974,4
spotify:track:2hPNuVVSV1tqiD2uPlfehz,"Come Over","Hive Mind","The Internet",2018-07-20,321855,52,true,ben.doan4366,2025-03-12T13:42:03Z,"alternative r&b,neo soul","Columbia",0.529,0.598,8,-7.951,1,0.187,0.0968,0.171,0.189,0.691,92.01,4
spotify:track:0sSNa2XDu7dxbnjK0lKnDH,"Look What U Started","Hive Mind","The Internet",2018-07-20,270795,42,true,ben.doan4366,2025-03-12T13:42:03Z,"alternative r&b,neo soul","Columbia",0.817,0.435,9,-5.784,0,0.057,0.322,0.00537,0.109,0.53,94.015,4
spotify:track:5v0C3nNNDMhZ3nWzzP0W4T,"Rough Soul (feat. April George)","Rough Soul (feat. April George)","GoldLink;April George",2017-01-13,181025,43,true,ben.doan4366,2025-03-12T13:42:03Z,"","Squaaash Club/RCA Records",0.795,0.529,4,-18.345,0,0.0605,0.0273,0.000129,0.0938,0.419,117.009,4
spotify:track:3XRosKfSgFSDIb6YVpApIl,"Treat Me Like Fire","Begin","LION BABE",2016-01-22,250706,48,false,ben.doan4366,2025-03-12T13:42:03Z,"alternative r&b,indie soul","Polydor Records",0.671,0.65,6,-7.687,1,0.0665,0.198,0.0057,0.6,0.323,91.961,4
spotify:track:50S4mpD9sR0ITKEfC0O2cb,"waves (feat. Travis Scott) - Remix","Rogue Waves","Miguel;Travis Scott",2016-02-26,200839,41,true,ben.doan4366,2025-03-12T13:42:03Z,"r&b,rap","ByStorm Entertainment/RCA Records",0.628,0.844,11,-2.825,0,0.0744,0.0132,0,0.108,0.367,115.091,4
spotify:track:5jyyPsIGM2yqkZN9R3TmvN,"The Ways (with Swae Lee)","Black Panther The Album Music From And Inspired By","Khalid;Swae Lee",2018-02-09,238893,58,true,ben.doan4366,2025-03-12T13:42:03Z,"","Black Panther (TDE/DMG) PS",0.727,0.719,11,-5.856,0,0.049,0.0622,0.00000116,0.229,0.589,140.08,4
spotify:track:294T8la5m8J14SOfxQ9lV2,"Laces","Dubclub","Shalom Dubas",2017-11-26,173932,14,false,ben.doan4366,2025-03-12T13:42:24Z,"",".Wav Ryder Records",0.756,0.409,0,-15.23,1,0.175,0.426,0.000123,0.104,0.524,89.021,4
spotify:track:1A6OTy97kk0mMdm78rHsm8,"Sunflower - Spider-Man: Into the Spider-Verse","Sunflower (Spider-Man: Into the Spider-Verse)","Post Malone;Swae Lee",2018-10-18,158053,4,false,ben.doan4366,2025-03-12T13:42:24Z,"","Universal Records",0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,4
spotify:track:6Tb8Fse6LfJ0CRZVlNjHF5,"Jackie Chan","Light Of Day","Preme;Post Malone",2018-05-04,223173,45,true,ben.doan4366,2025-03-12T13:42:24Z,"","BPG/RCA Records",0.749,0.641,6,-5.268,1,0.0444,0.538,0,0.0775,0.409,140.08,4
spotify:track:7pdF27mSDuPWhppnHAmWHa,"whoa (mind in awe)","SKINS","XXXTENTACION",2018-12-07,157776,70,false,ben.doan4366,2025-03-12T13:42:24Z,"emo rap","Bad Vibes Forever / EMPIRE",0.735,0.525,6,-2.939,0,0.0441,0.653,0.918,0.101,0.369,160.147,4
spotify:track:2Nh2cMryoXl7BrZoIeN2Pr,"Dapper (feat. Anderson .Paak)","Genesis","Domo Genesis;Anderson .Paak",2016-03-25,193093,49,true,ben.doan4366,2025-03-12T13:43:35Z,"","Odd Future",0.753,0.594,1,-9.486,0,0.0816,0.0711,0,0.391,0.562,112.568,4
spotify:track:39KiTKARPALXdEYaG5tqFM,"BUSSIT (with Ari Lennox)","Revenge Of The Dreamers III: Director's Cut","Dreamville;Ari Lennox",2020-01-16,150720,42,true,ben.doan4366,2025-03-12T13:43:35Z,"alternative r&b,neo soul","Dreamville/Interscope Records",0.796,0.563,1,-6.421,1,0.363,0.22,0.00000144,0.077,0.485,144.96,4
spotify:track:7eWGnKg4B44sbBPpQp4y2c,"Dragonball Durag","It Is What It Is","Thundercat",2020-04-03,181922,64,false,ben.doan4366,2025-03-12T13:43:52Z,"","Brainfeeder",0.648,0.59,2,-9.664,1,0.0942,0.697,0.808,0.111,0.401,81.045,4
spotify:track:5Puv2qaFDY6fmzAV7fBitu,"Rainy Day","Rainy Day","Zacari;Isaiah Rashad;Buddy",2021-08-06,190312,33,true,ben.doan4366,2025-03-12T13:43:52Z,"","Top Dawg Entertainment",0.711,0.868,11,-8.877,0,0.112,0.25,0.0000115,0.195,0.811,75.982,4
spotify:track:3PFaFVWq5wucLu6s4baj9D,"Girl (feat. KAYTRANADA)","Ego Death","The Internet;KAYTRANADA",2015-06-26,416322,64,true,ben.doan4366,2025-03-12T13:44:06Z,"alternative r&b,neo soul","Odd Future",0.568,0.42,7,-11.169,0,0.276,0.536,0.124,0.101,0.453,79.89,4
spotify:track:4NFD9ea0uH0MtoC30yNYE1,"West Coast Love","The Juice: Vol. II","Emotional Oranges",2019-11-08,215386,68,false,ben.doan4366,2025-03-12T13:44:13Z,"indie r&b","Avant Garden PS",0.696,0.65,4,-5.712,0,0.0326,0.00666,0.153,0.14,0.587,91.997,4
spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,"Snooze","SOS","SZA",2022-12-09,201800,88,true,ben.doan4366,2025-03-12T13:47:01Z,"r&b","Top Dawg Entertainment/RCA Records",0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
spotify:track:5aag1gsQdMtf7arZrR2jY2,"Forgiveless (feat. Ol' Dirty Bastard)","SOS Deluxe: LANA","SZA;Ol' Dirty Bastard",2025-02-09,141960,45,true,ben.doan4366,2025-03-12T13:47:11Z,"r&b,east coast hip hop,old school hip hop,hardcore hip hop","Top Dawg Entertainment/RCA Records",0.67,0.748,9,-6.203,1,0.238,0.33,0,0.0851,0.467,79.891,4
spotify:track:5VA4Ispp52EA1sOqzMz3Av,"All I Want Is You (feat. J. Cole)","All I Want Is You","Miguel;J. Cole",2010-11-30,295920,80,false,ben.doan4366,2025-04-27T22:25:50Z,"r&b,rap","Jive",0.776,0.603,5,-5.696,1,0.0343,0.0728,0.0000625,0.111,0.921,96.888,4
spotify:track:0rNgWFQJtfttOYIHfDOHCg,"BACKD00R (feat. Kendrick Lamar & Jhené Aiko)","MUSIC","Playboi Carti;Kendrick Lamar;Jhené Aiko",2025-03-14,190053,66,true,ben.doan4366,2025-03-24T21:49:29Z,"rage rap,hip hop,west coast hip hop,r&b","AWGE/Interscope Records",0.766,0.694,8,-5.378,1,0.0431,0.0801,0.00779,0.0901,0.212,142.038,4
spotify:track:4y794Xfz4IEjKEdpXyMTOq,"I'M DEAD","I'M UUGLY","Duckwrth;Sabrina Claudio",2016-08-26,230632,44,true,ben.doan4366,2025-03-25T11:24:12Z,"","Them Hellas/The Blind Youth",0.593,0.753,4,-9.422,0,0.918,0.708,0,0.36,0.483,114.774,4
spotify:track:19fKJrO9XdOf6Xla2QHecO,"Run Your Mouth","Submarine","The Marías",2024-05-31,160000,73,false,ben.doan4366,2025-03-28T12:01:41Z,"bedroom pop","Nice Life/Atlantic",0.781,0.649,7,-6.866,1,0.0363,0.249,0.0349,0.229,0.916,111.005,4
spotify:track:58pJZsMEPXmYX8gvXWyt3V,"Mixer","Mixer","Amber Mark",2019-04-04,192823,63,false,ben.doan4366,2025-03-28T12:03:21Z,"alternative r&b,indie soul","EMI",0.703,0.742,9,-5.542,1,0.0454,0.0509,0.000636,0.625,0.812,94.926,4
spotify:track:1tI8Ubt5VEMWDoGL08pomF,"Come Over","Come Over (Remixes)","LE SSERAFIM",2025-03-31,137178,65,false,ben.doan4366,2025-04-09T12:48:45Z,"k-pop","SOURCE MUSIC",0.666,0.929,4,-2.79,0,0.0557,0.139,0.00324,0.0395,0.912,155.938,4
spotify:track:4xhsWYTOGcal8zt0J161CU,"Lovin On Me","Lovin On Me","Jack Harlow",2023-11-10,138411,80,true,ben.doan4366,2025-04-10T00:00:55Z,"","Generation Now/Atlantic",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4
spotify:track:1SVhTS4l0sLFsP2Abme05l,"Just Us (feat. Doja Cat)","Just Us (feat. Doja Cat)","Jack Harlow;Doja Cat",2025-03-21,172877,64,true,ben.doan4366,2025-04-10T00:01:01Z,"","Generation Now/Atlantic",0.654,0.738,3,-7.299,0,0.272,0.0348,0,0.114,0.418,67.833,4
spotify:track:3aUviSdBVbsdmH406j5GZC,"Crush","Crush","Duckwrth",2019-08-30,135013,54,false,ben.doan4366,2025-04-18T14:29:23Z,"","Republic Records",0.873,0.479,5,-6.683,1,0.222,0.656,0.00000813,0.19,0.945,108.014,4
spotify:track:4qfVBxuuccdHuJ152wGDya,"Playlist","Playlist","Litany;Oscar Scheller",2021-04-01,153491,39,false,ben.doan4366,2025-04-21T23:17:11Z,"lo-fi indie","Litany",0.935,0.476,8,-5.89,1,0.0721,0.138,0,0.135,0.788,119.973,4
