Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:19kHhX6f6EfLU7rcO3RqjO,"Back On 74","Volcano","Jungle",2023-08-11,209482,81,false,ben.doan4366,2025-12-13T14:26:06Z,"","Caiola Records",0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,4
spotify:track:4fT63gOZxWxZsUYyFpc7s4,"C.Y.S.","C.Y.S.","Moon Boots",2014-01-30,323959,40,false,ben.doan4366,2025-12-13T14:27:21Z,"nu disco","French Express",0.723,0.711,11,-5.253,1,0.0397,0.0823,0.174,0.0853,0.541,120.008,4
spotify:track:5d6C3XycqRLFAGLtyO3Rfx,"Keep The Faith","First Landing","Moon Boots;Nic Hanson",2017-08-04,258034,51,false,ben.doan4366,2025-12-13T14:27:46Z,"nu disco","Anjunadeep",0.822,0.564,10,-6.669,1,0.0448,0.0304,0.0465,0.139,0.472,116.02,4
spotify:track:2RU67aiaESQ7t9D1xUJqBu,"I Want Your Attention","First Landing","Moon Boots;Fiora",2017-08-04,286726,49,false,ben.doan4366,2025-12-13T14:28:00Z,"nu disco,melodic bass,chillstep,drum and bass","Anjunadeep",0.806,0.608,11,-7.57,0,0.0496,0.0178,0.314,0.13,0.561,122,4
spotify:track:6DNhKRNCMHjCVX8SRp7AP4,"Vaitimbora","Vaitimbora (Acoustic)","Mari Froes;Trinix",2025-10-10,135131,44,false,ben.doan4366,2025-12-13T14:26:15Z,"new mpb","RCA Local",0.848,0.509,1,-8.039,0,0.293,0.256,0.000843,0.191,0.478,95.954,4
spotify:track:7cYNQkJoyHVhP8Drb2n6d5,"Don’t Start Now (Kaytranada Remix)","Don’t Start Now (Kaytranada Remix)","Dua Lipa;KAYTRANADA",2020-09-11,267253,40,false,ben.doan4366,2025-12-13T14:27:14Z,"pop","Warner Records",0.726,0.588,4,-12.406,0,0.0569,0.00168,0.00814,0.0809,0.673,114.988,4
spotify:track:75rwFqcRxEP2z38e3xuSHs,"All I See - Darius Remix","All I See (Remixes)","Bondax;Darius",2014-10-03,260920,49,false,ben.doan4366,2025-12-13T14:27:14Z,"nu disco,indie soul,french house","Bondax",0.805,0.728,9,-6.296,1,0.0853,0.0191,0.242,0.617,0.635,112.025,4
spotify:track:1VNZ7LWT495ICAO4CvOaTX,"DX7 - Indastudio 10","Indastudio","Dabeull;HolyBrune",2017-12-08,244762,62,false,ben.doan4366,2025-12-13T14:27:14Z,"funk,nu disco","Dabeull Records",0.902,0.586,1,-7.658,1,0.0741,0.445,0.002,0.0646,0.723,110.984,4
spotify:track:7bBNsopInP7R1MJsCJvKw9,"Down4Me","Stay Inspired","jsilos",2023-06-25,170852,59,false,ben.doan4366,2025-12-13T14:27:14Z,"","Peaceful Creatives",0.828,0.423,3,-11.763,0,0.21,0.035,0.0103,0.0991,0.437,117.895,4
spotify:track:1QVF9JOvsO9koQhq1XQTzy,"The Sweetest Meditation","Harmonies","Lord Echo;Mara TK",2017-04-07,354213,0,false,ben.doan4366,2025-12-13T14:29:14Z,"indie soul,nz reggae","Soundway Records",0.775,0.805,11,-8.594,0,0.0518,0.198,0.111,0.0912,0.717,114.886,4
