Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7KysI43rsjlhjTeWO6ePUq,"It's Five O'Clock Somewhere","Greatest Hits Volume II","Alan Jackson;Jimmy Buffett",2003-10-09,229800,68,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:44:49Z,"country,country christian,classic country,traditional country","Arista Nashville",0.714,0.774,2,-6.713,1,0.0367,0.219,0,0.203,0.887,125.199,4
spotify:track:60IGhnH20N82dNxKnc8jDd,"Knee Deep (feat. Jimmy Buffett)","You Get What You Give","Zac Brown Band;Jimmy Buffett",2010-09-20,203173,75,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:45:34Z,"country,acoustic country","Home Grown Music",0.715,0.584,8,-8.231,1,0.0296,0.432,0.00000141,0.095,0.609,90.99,4
spotify:track:6FTKRyJAaU0CMZQQlxBjY2,"I Have Found Me a Home","Songs You Don't Know By Heart","Jimmy Buffett",2020-11-27,225271,27,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:46:08Z,"","Mailboat Records",0.543,0.608,2,-7.107,1,0.0265,0.47,0,0.121,0.425,74.498,4
spotify:track:6tTGz2AjpRBS9PcB47fWPM,"Lovely Cruise","Changes In Latitudes, Changes In Attitudes","Jimmy Buffett",1977-01-01,235773,41,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:46:19Z,"","Geffen*",0.683,0.244,0,-14.499,1,0.0269,0.684,0.157,0.116,0.639,89.348,4
spotify:track:6wuQNaKq4Q0A38MbJbXJtS,"The Captain And The Kid","Havana Daydreamin'","Jimmy Buffett",1976-01-01,198400,35,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:46:22Z,"","Geffen*",0.536,0.192,2,-18.575,1,0.0328,0.485,0.0349,0.0712,0.382,112.129,4
spotify:track:7G6l2FtQyRhQgYgut2I6i8,"As Good As I Once Was","Honkytonk University","Toby Keith",2005-01-01,227840,75,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:51:26Z,"country,classic country","DreamWorks Nashville",0.68,0.87,5,-4.461,1,0.0393,0.266,0,0.109,0.645,119.078,4
spotify:track:7J0vC86jXSmIXtiGcdiYir,"Woman Goin' Crazy on Caroline Street","Songs You Don't Know By Heart","Jimmy Buffett",2020-11-27,248648,24,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:52:57Z,"","Mailboat Records",0.625,0.447,7,-8.195,1,0.034,0.716,0,0.196,0.648,88.954,4
spotify:track:5BRIwCUqAB3qLH7lcz9oWO,"Cowboy in the Jungle","Songs You Don't Know By Heart","Jimmy Buffett",2020-11-27,313407,24,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:53:02Z,"","Mailboat Records",0.672,0.571,7,-8.553,1,0.0271,0.662,0.00000161,0.141,0.617,115.996,4
spotify:track:6yImFUgtilGT7bJxH64lCE,"The Night I Painted the Sky","Songs You Don't Know By Heart","Jimmy Buffett",2020-11-27,319440,23,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:53:06Z,"","Mailboat Records",0.551,0.319,4,-9.815,1,0.0266,0.721,0,0.125,0.255,96.519,3
spotify:track:6jEzAGGhaDOEeDXoJ7e8XK,"Love in the Library","Songs You Don't Know By Heart","Jimmy Buffett",2020-11-27,270154,32,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:53:09Z,"","Mailboat Records",0.588,0.445,9,-9.02,1,0.0267,0.852,0,0.106,0.525,143.969,4
