Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0NHLyggTY0B2LgXaGuScU4,"Changes in Latitudes, Changes in Attitudes - Live","Live at Wrigley Field","Jimmy Buffett",2006,196666,18,false,jimmybuffettofficial,2020-05-28T16:00:44Z,"","Mailboat Records",0.608,0.887,2,-6.942,1,0.0697,0.616,0,0.975,0.724,133.532,4
spotify:track:43KbMKOfeDmSY0J8pkzGPl,"A Pirate Looks at Forty - Live","Encores (Live)","Jimmy Buffett",2010-04-20,302080,19,false,jimmybuffettofficial,2020-05-28T16:02:31Z,"","Mailboat Records",0.644,0.368,7,-7.398,1,0.0288,0.882,0.0023,0.876,0.265,105.065,4
spotify:track:38aUmb5OOEJj5QKyIRp4VX,"Margaritaville - Live","Live at Fenway Park","Jimmy Buffett",2005-11-15,291173,15,false,jimmybuffettofficial,2020-05-28T16:04:13Z,"","Mailboat Records",0.555,0.846,2,-7.581,1,0.0544,0.431,0.00144,0.986,0.772,126.15,4
spotify:track:0YLshByAexHCWQ0mSYCrfE,"One Particular Harbour - Live","Live in Anguilla","Jimmy Buffett",2007-11-06,367066,21,false,jimmybuffettofficial,2020-05-28T16:02:47Z,"","Mailboat Records",0.552,0.924,4,-5.632,1,0.0479,0.381,0.0000474,0.721,0.805,95.139,4
spotify:track:1vEXG0A94zu5qX4Iw2PX7I,"Brown Eyed Girl - Live","Live in Anguilla","Jimmy Buffett",2007-11-06,317826,18,false,jimmybuffettofficial,2020-05-28T16:00:28Z,"","Mailboat Records",0.623,0.891,7,-6.036,1,0.0359,0.411,0.000134,0.986,0.887,134.034,4
spotify:track:0qmawdRliiO39sdaxUIl2e,"Southern Cross - Live","Buffett Live: Tuesdays, Thursdays, Saturdays","Jimmy Buffett",1999-11-09,307106,44,false,jimmybuffettofficial,2020-05-28T15:59:51Z,"","Mailboat Records",0.476,0.808,2,-7.799,1,0.0568,0.377,0,0.887,0.629,170.809,4
spotify:track:1fJY4cx9lXwaFB5aPIkLS7,"Boat Drinks - Live","Live at Fenway Park","Jimmy Buffett",2005-11-15,257693,17,false,jimmybuffettofficial,2020-05-28T16:01:21Z,"","Mailboat Records",0.522,0.819,2,-8.904,1,0.153,0.64,0.00000863,0.965,0.738,133.136,4
spotify:track:2vMuqkkubmmDAIemILEmRh,"Son of a Son of a Sailor - Live","Live at Fenway Park","Jimmy Buffett",2005-11-15,258866,16,false,jimmybuffettofficial,2020-05-28T16:01:47Z,"","Mailboat Records",0.506,0.691,0,-7.753,1,0.0919,0.835,0.0000346,0.717,0.571,123.002,4
spotify:track:2YZ2Q6jRARkkEqpVjv8rPc,"Glory Days - Live Bonus Track","Live at Wrigley Field","Jimmy Buffett",2006,317706,16,false,jimmybuffettofficial,2023-09-13T17:11:48Z,"","Mailboat Records",0.551,0.883,9,-6.041,1,0.09,0.116,0.00000126,0.978,0.625,128.289,4
spotify:track:7aqhlqOWgN05pv2PHYa2Di,"Last Mango in Paris - Live","Encores (Live)","Jimmy Buffett",2010-04-20,259346,18,false,jimmybuffettofficial,2023-09-13T17:16:44Z,"","Mailboat Records",0.638,0.61,4,-6.124,1,0.0357,0.831,0,0.8,0.508,135.897,4
