Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6kJvrUroa9EQ8E9JcZH25B,"Chattahoochee","The Essential Alan Jackson","Alan Jackson",2012-04-17,147706,32,false,vyrvddd99x5ejdq4b7ikuzgst,2024-06-08T11:55:47Z,"country,country christian,classic country,traditional country","Arista Nashville",0.6,0.84,0,-5.181,1,0.038,0.359,0,0.127,0.866,174.482,4
spotify:track:07KYRDFf8Q6sqj4PWCP9vh,"It's Five O'Clock Somewhere","Playlist: The Very Best Of Alan Jackson","Alan Jackson;Jimmy Buffett",2012-10-09,230266,57,false,vyrvddd99x5ejdq4b7ikuzgst,2024-06-08T12:17:23Z,"country,country christian,classic country,traditional country","RCA/Legacy",0.713,0.768,2,-6.702,1,0.0364,0.22,0,0.177,0.878,125.203,4
spotify:track:07zD3s1Xu3fmeV1J8mfVlA,"Redemption Song - Bob Marley: One Love - Music Inspired By The Film","Redemption Song (Bob Marley: One Love - Music Inspired By The Film)","Leon Bridges",2024-02-09,220506,36,false,vyrvddd99x5ejdq4b7ikuzgst,2024-06-13T11:35:28Z,"retro soul","Island Records",0.663,0.393,5,-9.115,1,0.0277,0.478,0,0.103,0.51,111.822,4
spotify:track:1lbXEepatjRVjoG8pZMtdp,"Dreams","Greatest Hits","Fleetwood Mac",1988-11-21,254453,68,false,vyrvddd99x5ejdq4b7ikuzgst,2024-06-15T13:01:25Z,"yacht rock,classic rock,soft rock","Warner Records",0.823,0.338,0,-15.899,1,0.0413,0.139,0.00129,0.5,0.785,120.473,4
spotify:track:0d28khcov6AiegSCpG5TuT,"Feel Good Inc.","Demon Days","Gorillaz;De La Soul",2005-05-23,222640,91,false,vyrvddd99x5ejdq4b7ikuzgst,2024-06-22T15:07:00Z,"jazz rap,east coast hip hop","Parlophone UK",0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4
spotify:track:4BcS4LomxUnQpzx4hCaJTs,"Can't Stop","By the Way","Red Hot Chili Peppers",2002-07-09,269000,57,false,vyrvddd99x5ejdq4b7ikuzgst,2024-06-22T15:34:30Z,"funk rock,alternative rock,rock","Warner Records",0.62,0.934,4,-3.427,0,0.0411,0.0201,0,0.19,0.887,91.234,4
spotify:track:5owW7rEIdQkbL39wt0iEv8,"Whenever You Need Somebody","Whenever You Need Somebody","Rick Astley",1987-11-12,233666,0,false,vyrvddd99x5ejdq4b7ikuzgst,2024-07-18T15:02:28Z,"","BMG Rights Management (UK) Ltd",0.716,0.946,0,-13.01,0,0.0402,0.108,0.00000945,0.184,0.524,115.18,4
spotify:track:3O9zeBmAi5JRBMSpIQGx2v,"A View to a Kill","Greatest","Duran Duran",1998-11-03,217693,48,false,vyrvddd99x5ejdq4b7ikuzgst,2024-07-18T15:15:33Z,"new wave,synthpop","Parlophone UK",0.706,0.813,1,-5.404,1,0.0569,0.0157,0,0.262,0.777,125.468,4
spotify:track:1ayDPRAjTlTtvh3Oc1Zr3B,"Ramblin' Man","Brothers And Sisters (Deluxe Edition)","Allman Brothers Band",2013-06-25,288160,60,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-11T19:47:35Z,"southern rock,jam band,classic rock,blues rock,country rock","Island Def Jam",0.305,0.824,1,-8.33,1,0.0354,0.51,0.00292,0.272,0.921,179.404,4
spotify:track:2PzU4IB8Dr6mxV3lHuaG34,"(I Can't Get No) Satisfaction - Mono","Out Of Our Heads","The Rolling Stones",1965-07-30,222813,75,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-11T19:52:37Z,"classic rock,rock","ABKCO Music and Records, Inc.",0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4
spotify:track:1PEyaTMUl8gLYQw4K0QM80,"Uptown Girl","50 Years of the Piano Man","Billy Joel",2022-04-08,196564,30,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-11T19:55:44Z,"soft rock","Columbia/Legacy",0.674,0.928,4,-3.733,1,0.0466,0.0399,0,0.81,0.827,128.543,4
spotify:track:6UhEeEUvgkj6fVHSY9ZxeW,"Rock Music","Freedom At Point Zero","Jefferson Starship",1979-11-01,217360,31,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-11T19:59:00Z,"yacht rock,aor,classic rock","Rhino",0.576,0.845,2,-8.527,1,0.0314,0.0835,0.00006,0.226,0.818,101.256,4
spotify:track:60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""","G I R L","Pharrell Williams",2014-03-03,233306,82,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-15T15:07:19Z,"","Columbia",0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,4
spotify:track:4r6Ewqi8MgKSDPaXjnw0d7,"Uptown Funk (feat. Bruno Mars)","Binge Worthy Summer Vibes","Mark Ronson;Bruno Mars",2024-04-26,270626,1,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-17T16:18:56Z,"","Sony Music CG",0.853,0.68,0,-5.003,1,0.0883,0.00982,0.0000548,0.0232,0.93,114.985,4
spotify:track:23IJ5wLRhEZ9DOuia5mPiZ,"Who Are You","Who Are You","The Who",1978-08-18,381626,62,true,vyrvddd99x5ejdq4b7ikuzgst,2024-08-19T12:36:04Z,"classic rock,rock","Geffen",0.651,0.648,9,-11.409,1,0.0501,0.262,0.0042,0.0655,0.49,156.372,4
spotify:track:3dj4wgM3cPeuLwMNHDuBon,"The Door","I've Tried Everything But Therapy (Part 1)","Teddy Swims",2023-09-15,212648,87,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-19T12:41:46Z,"","Warner Records",0.731,0.861,8,-5.483,0,0.0532,0.0193,0,0.123,0.759,127.922,4
spotify:track:6zGDIDjfDkPyNxrEERO3XG,"Tush - 2006 Remaster","Fandango! (Expanded 2006 Remaster)","ZZ Top",1975-04-18,137933,3,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-19T12:46:36Z,"southern rock,classic rock,blues rock,rock","Rhino/Warner Records",0.58,0.885,0,-5.154,0,0.0715,0.1,0.00157,0.146,0.788,145.405,4
spotify:track:6kaGdvXAeeUHef6bNm4YWH,"All Star","I'm A Believer","Smash Mouth",2001-04-04,200253,10,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-26T12:33:13Z,"","Interscope",0.735,0.878,11,-5.413,1,0.0336,0.0338,0,0.0925,0.803,104.374,4
spotify:track:6KQjWsoBg29LmI9gcw1zBY,"I'll Be There for You - From ""Friends""","Friends - I'll Be There For You","The Rembrandts",2011-09-19,198294,4,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-26T12:41:14Z,"","Silva Screen Records Ltd",0.422,0.898,2,-5.521,1,0.0452,0.000992,0,0.0781,0.527,95.284,4
spotify:track:4pryE6cN2gFL1FVF5fYINl,"Leave The Door Open","An Evening With Silk Sonic","Bruno Mars;Anderson .Paak;Silk Sonic",2021-11-12,242096,72,false,vyrvddd99x5ejdq4b7ikuzgst,2024-08-29T11:48:42Z,"","Aftermath Entertainment/Atlantic",0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4
spotify:track:17phhZDn6oGtzMe56NuWvj,"Lose Control","I've Tried Everything But Therapy (Part 1)","Teddy Swims",2023-09-15,210688,89,false,vyrvddd99x5ejdq4b7ikuzgst,2024-09-03T11:47:39Z,"","Warner Records",0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3
spotify:track:0n2SEXB2qoRQg171q7XqeW,"Smooth (feat. Rob Thomas)","Supernatural (Remastered)","Santana;Rob Thomas",1999-06-15,294986,72,false,vyrvddd99x5ejdq4b7ikuzgst,2024-09-12T12:09:38Z,"","Columbia/Legacy",0.609,0.923,9,-3.908,1,0.0338,0.16,0.00000473,0.295,0.961,115.996,4
spotify:track:41fecZEX4sPrRxnjZQ6DGU,"Landslide","Landslide","Dagny",2018-07-24,179386,42,false,vyrvddd99x5ejdq4b7ikuzgst,2024-09-19T12:02:34Z,"norwegian pop","Republic Records",0.589,0.609,10,-7.593,1,0.053,0.625,0.000759,0.0688,0.411,149.976,4
spotify:track:3pRaLNL3b8x5uBOcsgvdqM,"Hallelujah","Grace","Jeff Buckley",1994,413813,72,false,vyrvddd99x5ejdq4b7ikuzgst,2024-09-19T12:05:42Z,"","Columbia/Legacy",0.324,0.136,0,-10.33,1,0.0318,0.931,0.00117,0.176,0.0831,97.256,3
spotify:track:6Fu2DQzXvx28qYEPrXDikG,"I Heard It Through The Grapevine","Chronicle: 20 Greatest Hits","Creedence Clearwater Revival",1976-01-01,664333,55,false,vyrvddd99x5ejdq4b7ikuzgst,2024-10-20T12:37:50Z,"classic rock,southern rock,country rock","Craft Recordings",0.633,0.731,0,-10.173,1,0.0428,0.0698,0.28,0.0997,0.868,118.674,4
spotify:track:3AMFDhgJx5sIYw1ukbiEk4,"Do You Feel Like We Do","Greatest Hits","Peter Frampton",1996-01-01,834866,39,false,vyrvddd99x5ejdq4b7ikuzgst,2024-10-20T12:58:09Z,"classic rock","A&M",0.314,0.544,0,-9.419,1,0.0288,0.052,0.00712,0.979,0.361,106.597,4
spotify:track:72by3Re4C3eVEBXvsUo0zV,"Green Light (feat. André 3000)","Evolver","John Legend;André 3000",2008-10-27,284186,59,false,vyrvddd99x5ejdq4b7ikuzgst,2024-11-02T13:48:09Z,"soft pop,neo soul,ambient jazz","G.O.O.D. Music/Columbia",0.622,0.882,9,-5.59,0,0.119,0.0912,0,0.216,0.762,77.506,4
