Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5Yi6mwvMHnnh241uGjcJYy,"Son Of A Son Of A Sailor","Son Of A Son Of A Sailor","Jimmy Buffett",1978-01-01,206093,58,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:38:21Z,"","Geffen",0.472,0.18,7,-18.835,1,0.034,0.496,0.00000139,0.111,0.373,123.596,4
spotify:track:44UqG68nsYIsJGQQXybDN8,"One Particular Harbour","One Particular Harbor","Jimmy Buffett",1983,344506,50,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:38:23Z,"","Geffen*",0.526,0.46,4,-15.412,1,0.0462,0.222,0.0000596,0.0661,0.829,92.581,4
spotify:track:5nIqitaV7WyyuM3KVUju1G,"Changes In Latitudes, Changes In Attitudes","Changes In Latitudes, Changes In Attitudes","Jimmy Buffett",1977-01-01,197333,59,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:38:33Z,"","Geffen*",0.719,0.44,2,-15.11,1,0.0393,0.573,0.000291,0.0681,0.82,125.487,4
spotify:track:4X6qvY7lDpNxq9QokS5F0u,"Fins","Volcano","Jimmy Buffett",1979-01-01,207933,52,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:38:36Z,"","Geffen*",0.665,0.648,4,-13.014,1,0.0571,0.0107,0,0.0412,0.924,135.411,4
spotify:track:208bYsadJ56km31IENM2qS,"No Shoes, No Shirt, No Problems","No Shoes, No Shirt, No Problems","Kenny Chesney",2002-04-02,209666,62,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:38:40Z,"country","BNA Records Label",0.719,0.546,7,-10.239,1,0.032,0.243,0.00844,0.181,0.669,117.925,4
spotify:track:3U4hSjTlK6WU0wORlAne9H,"Sail On, Sailor - Remastered 2000","Holland (Remastered 2000)","The Beach Boys",1973-01-08,202426,48,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:38:46Z,"baroque pop","Capitol Records",0.627,0.631,9,-10.76,0,0.0245,0.208,0,0.144,0.679,109.983,3
spotify:track:4I3nwwubSmlAaA9PJa0lvH,"Island Song","Uncaged","Zac Brown Band",2012-07-06,223306,0,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:38:52Z,"country,acoustic country","Home Grown Music",0.845,0.7,8,-6.025,1,0.0504,0.208,0,0.166,0.892,145.892,4
spotify:track:5PNcJn4oFNvlRfrZBHfqWh,"Castaway","JEKYLL + HYDE","Zac Brown Band",2015-04-28,188053,0,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:38:55Z,"country,acoustic country","Zac Brown",0.611,0.782,8,-4.989,1,0.0474,0.147,0,0.115,0.915,101.319,4
spotify:track:4VJHw4VLJTx4IC0xFQz7Gh,"Boat Drinks","Volcano","Jimmy Buffett",1979-01-01,160506,54,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:39:01Z,"","Geffen*",0.639,0.493,2,-12.359,1,0.0327,0.0131,0.0000685,0.126,0.905,124.88,4
spotify:track:3R8XBHHIhlzJo65YFgp0Z2,"Where the Boat Leaves From","The Foundation","Zac Brown Band",2008-11-17,222533,0,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:39:07Z,"country,acoustic country","Home Grown Music",0.756,0.796,1,-5.047,1,0.039,0.363,0.00000156,0.0496,0.817,92.009,4
spotify:track:7rOCVvKlBhDjnaXN5zwyH2,"Havana Daydreamin'","Havana Daydreamin'","Jimmy Buffett",1976-01-01,219706,49,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:39:09Z,"","Geffen*",0.632,0.363,9,-15.437,1,0.0334,0.729,0.00032,0.141,0.733,116.849,4
spotify:track:1u5207wtMT8mOq3A64nsEb,"Mañana","Son Of A Son Of A Sailor","Jimmy Buffett",1978-01-01,256959,47,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:39:14Z,"","Geffen",0.696,0.486,2,-13.771,1,0.0322,0.45,0.00389,0.113,0.913,121.437,4
spotify:track:22ejspKqayOvA7eCzUjFlk,"Coastal","Hemingway's Whiskey","Kenny Chesney",2010-09-28,159586,47,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:39:20Z,"country","BNA Records Label",0.721,0.72,8,-6.544,1,0.0282,0.0958,0.00000279,0.0984,0.726,111.957,4
spotify:track:06YPnktvcLxVopw6xfW5rc,"Something 'Bout a Boat","Songs from St. Somewhere","Jimmy Buffett",2013-08-20,164073,48,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:39:32Z,"","Mailboat Records",0.777,0.49,4,-9.995,1,0.0513,0.658,0.00000826,0.105,0.859,156.055,4
spotify:track:6Hvkerq1P6q8DeOHjCh3hT,"Boats","Lucky Old Sun","Kenny Chesney",2008-10-14,275546,0,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:39:36Z,"country","Blue Chair Records",0.751,0.454,7,-9.402,1,0.0304,0.512,0.00289,0.0686,0.333,98.6,4
spotify:track:7kWeSMXLxUHHOkFxsS0vhP,"Some Beach","Blake Shelton's Barn & Grill","Blake Shelton",2004-10-26,204826,62,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:39:52Z,"country","Warner Records/Nashville",0.787,0.765,0,-6.331,1,0.0265,0.231,0.0000179,0.323,0.964,115.979,4
spotify:track:1tCjn3xJR6odgDWdJF79zB,"Stars On The Water","One Particular Harbor","Jimmy Buffett",1983,196800,34,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:40:03Z,"","Geffen*",0.691,0.613,7,-13.455,1,0.0299,0.36,0.000139,0.0807,0.866,135.532,4
spotify:track:3kawBgeEJMPI0aw7XH5lFA,"A Pirate Looks At 40 - Live/1990","Feeding Frenzy","Jimmy Buffett",1990-01-01,269212,28,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:40:05Z,"","Geffen*",0.571,0.373,7,-13.359,1,0.0287,0.765,0,0.984,0.398,105.194,4
spotify:track:1JZOZqjrMpIRDkszpy5djO,"One Particular Harbour - Live/1990","Feeding Frenzy","Jimmy Buffett",1990-01-01,385200,27,false,vyrvddd99x5ejdq4b7ikuzgst,2021-03-23T17:40:10Z,"","Geffen*",0.613,0.752,4,-10.004,1,0.0461,0.0984,0.00000566,0.986,0.512,97.254,4
spotify:episode:22GYBiib0gbe9UMeRPIYXC,"The Biggest Moments from Code, the Latest Robinhood Controversy, and the Future of Fitness Apps","Pivot","",,2793534,0,false,vyrvddd99x5ejdq4b7ikuzgst,2021-10-02T16:45:21Z,"","undefined",,,,,,,,,,,,
